WA,3333.3
WI,6048.30555556
WV,1792.65217391
FL,4553.36118598
FM,0
WY,948.272727273
NH,776.731707317
NJ,3758.875
NM,8285.20833333
NC,3145.53684211
ND,1417.03571429
NE,4224.21276596
NY,1377.79012346
RI,1234.84
NV,4293.02564103
GU,254.0
CO,3453.18421053
CA,2459.77891654
GA,4625.58641975
CT,3371.17525773
OK,1638.2519084
OH,4365.53191489
KS,2211.72043011
SC,7077.59223301
KY,4761.03960396
OR,5015.25842697
SD,1669.93333333
DE,2028.73684211
DC,14598.6521739
HI,12097.7391304
PR,3942.5625
PW,0.0
TX,3018.27577938
LA,2197.51886792
TN,3135.02906977
PA,3359.07751938
VA,4840.71779141
VI,283.0
AK,714.333333333
AL,7356.46067416
AS,0.0
AR,1687.28395062
VT,481.285714286
IL,2810.57192982
IN,8408.27272727
IA,7588.98888889
AZ,4578.20338983
ID,9172.32432432
ME,1802.675
MD,6857.96551724
MA,2559.02083333
UT,5755.65714286
MO,2176.43093923
MN,4715.49333333
MI,4259.91397849
MH,0
MT,654.724137931
MP,0
MS,6488.73770492
